,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lrs
0,0.26203836171174205,0.18609638566320594,90.27789063134801,93.13688212927757,0.9040304792460396,0.9321045702463795,0.001
1,0.18810172076155612,0.16862642840679848,93.2274315430243,94.10646387832699,0.9330064702809148,0.9413101098068912,0.001
2,0.15733149082145909,0.16051310692546947,94.42593645892582,94.01140684410646,0.944686340912756,0.9416342412451363,0.001
3,0.13232628876077276,0.14044139031885247,95.28317217843504,95.0,0.9530206773762797,0.9512330799184128,0.001
4,0.12240832074025235,0.14129254797642882,95.67725684569757,94.98098859315589,0.956964892412231,0.951129211403184,0.001
5,0.10415896146509845,0.13613502481444315,96.31510522466888,95.34220532319392,0.9633046081644213,0.9531279892863975,0.001
6,0.08343979930777297,0.155876954385277,97.00576907451044,94.33460076045628,0.9701486491959982,0.9436459909228442,0.001
7,0.08014505364926072,0.13352977372705938,97.1357763874218,95.15209125475285,0.9714355171994651,0.9516037198709433,0.001
8,0.06657583135385792,0.1315366553368442,97.59486471114,95.49429657794677,0.9759993513338198,0.9554595000939672,0.001
9,0.061025171411789154,0.2292705603790554,97.68424473876655,91.86311787072243,0.9768556114991067,0.9129373474369407,0.001
10,0.054589878119885096,0.2138579844299591,97.98894937840254,93.09885931558935,0.979911529564547,0.9273854770954192,0.001
11,0.04698642727302073,0.1470445674025651,98.23271309011132,95.07604562737643,0.9823350253807107,0.950028940767895,0.001
12,0.05141486418055516,0.15282203789631074,98.14739579101324,96.08365019011407,0.9814920042211219,0.961117402793507,0.001
13,0.040125297280119175,0.13327650081253414,98.5171040871049,95.39923954372624,0.9851668224488968,0.9532095901005413,0.001
14,0.03335213429636969,0.16807997430477178,98.85024782644024,94.82889733840304,0.9884935962594023,0.9473684210526315,0.001
15,0.033682627364250005,0.15453890127158074,98.7771187129276,95.51330798479087,0.9877677083756655,0.9544928654068646,0.001
16,0.03680847153360895,0.17653962401567366,98.67148777118713,94.84790874524714,0.9867240469327271,0.9501746644603788,0.001
17,0.031719255583911116,0.1475526680718317,98.85024782644024,95.95057034220532,0.9885001422243893,0.9594671741198857,0.001
18,0.028560529495177445,0.15159423095526908,98.93962785406679,96.23574144486692,0.9893915376173636,0.962655601659751,0.001
